motor voltage / V,time / s,number of oscilations,angular frequency,right / arbitarry units,left / arbitarry units,average / arbitrary units,braking current = 0.3A
4.00,36.92,10,1.70,0.3,1.7,1.0,
6.00,23.91,10,2.63,1.8,3.1,2.5,
6.50,22.08,10,2.85,3.5,4.9,4.2,
7.00,20.77,10,3.03,8.0,9.4,8.7,
7.10,20.50,10,3.06,9.8,11.2,10.5,
7.18,20.28,10,3.10,10.5,12.0,11.3,
7.16,20.09,10,3.13,10.6,12.3,11.5,
7.25,20.03,10,3.14,9.4,11.0,10.2,
7.50,19.09,10,3.29,4.0,5.4,4.7,
8.00,17.93,10,3.50,1.8,3.2,2.5,
9.00,15.85,10,3.96,0.4,1.8,1.1,
12.00,23.56,20,5.33,-0.3,1.0,0.4,
