Number of oscilations n,Amplitude a_n / arbitrary units,Error in a_n,ln(a_n),positive error in ln(a_n),negative error in ln(a_n),,braking current = 0A
0,10.0,0.1,2.303,0.010,0.010,,
1,9.4,0.1,2.241,0.011,0.011,,
2,9.0,0.1,2.197,0.011,0.011,,
3,8.7,0.1,2.163,0.011,0.012,,
4,8.4,0.1,2.128,0.012,0.012,,
5,8.1,0.1,2.092,0.012,0.012,,
6,7.8,0.1,2.054,0.013,0.013,,
7,7.5,0.1,2.015,0.013,0.013,,
8,7.2,0.1,1.974,0.014,0.014,,
9,6.9,0.1,1.932,0.014,0.015,,
10,6.6,0.1,1.887,0.015,0.015,,
11,6.3,0.1,1.841,0.016,0.016,,
12,6.0,0.1,1.792,0.017,0.017,,
13,5.6,0.1,1.723,0.018,0.018,,
14,5.3,0.1,1.668,0.019,0.019,,
15,5.0,0.1,1.609,0.020,0.020,,
